startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
15,11,False,False,21,114,1650200400,1650242460,32760,0,3670,229,268.84,312.6
2,7,False,False,30,4,1650238380,1650256500,10260,1,769,390,627.91,697.1
3,2,False,False,39,117,1650246900,1650278760,23220,1,2514,389,549.22,614.01
9,5,False,False,30,215,1650213900,1650236700,20700,0,2435,232,677.21,751.6
13,2,False,False,7,138,1650223800,1650252780,14940,0,1265,54,174.88,211.6
15,1,False,False,30,4,1650207600,1650235680,25620,0,3082,122,322.79,370.6
13,3,False,False,39,192,1650254760,1650300360,20520,1,2030,389,498.05,564.6
10,4,False,False,7,167,1650220200,1650241980,19020,0,1519,53,157.21,192.6
10,15,False,False,30,155,1650196500,1650226920,25680,0,2595,243,318.14,365.6
13,8,False,True,23,164,1650239700,1650248040,8340,0,720,312,141.4,166.61
7,10,False,False,53,206,1650213240,1650229740,8640,0,392,315,640.0,711.6
11,2,False,False,56,167,1650213120,1650244320,20100,0,1784,97,532.09,595.6
10,13,False,True,20,164,1650202200,1650212220,10020,0,720,226,226.98,258.6
10,7,False,False,7,43,1650209700,1650228840,12660,0,872,178,595.35,662.1
15,10,False,False,56,103,1650212100,1650243600,26640,0,3060,253,340.47,389.61
6,15,False,False,30,155,1650196500,1650226920,25920,0,2595,124,652.1,724.61
12,1,False,False,37,128,1650204600,1650248640,30120,0,2796,237,733.02,816.1
5,2,False,False,56,80,1650209940,1650227460,13860,0,1030,369,155.35,190.6
14,10,False,False,7,167,1650219300,1650238020,15960,0,1392,54,328.38,376.61
15,5,False,False,12,224,1650200400,1650251220,27660,0,2642,363,511.62,583.69
14,10,False,False,7,167,1650194880,1650224100,16320,0,1392,54,328.38,376.61
9,10,False,False,30,4,1650225600,1650253920,22140,0,2681,80,340.47,389.61
14,10,False,False,56,167,1650204600,1650237540,16920,0,1392,343,328.38,382.21
15,11,False,False,30,72,1650199200,1650230220,26880,0,3236,121,268.84,312.6
8,1,False,True,20,164,1650212940,1650217260,4320,0,185,226,226.98,258.6
9,3,False,True,46,164,1650227220,1650235140,7920,0,827,343,213.95,244.6
12,15,False,False,30,119,1650204600,1650222720,9900,0,677,237,509.76,571.59
10,4,False,False,7,167,1650227400,1650253740,18840,0,1519,53,157.21,192.6
15,6,False,False,56,119,1650209100,1650240120,25680,0,2797,354,318.14,365.6
14,0,False,False,7,167,1650219300,1650240300,15240,0,1272,330,174.88,211.6
15,6,False,False,7,192,1650224220,1650250800,23880,0,2791,184,327.44,375.6
12,10,False,False,37,133,1650204600,1650245040,28320,0,2803,237,630.69,706.09
10,13,False,True,4,164,1650241800,1650251460,9660,0,720,52,141.4,166.61
15,6,False,False,30,72,1650199200,1650238380,22080,0,2568,88,816.75,907.21
7,11,False,True,46,164,1650215040,1650225240,10200,0,923,351,209.3,239.6
4,3,False,False,56,103,1650195900,1650215040,13680,0,1109,343,174.88,211.6
3,9,False,False,7,68,1650200400,1650224220,19440,0,1888,178,301.4,347.61
10,13,False,True,20,164,1650213000,1650222660,9660,0,720,112,375.81,418.6
6,14,False,False,53,25,1650248160,1650284880,10980,1,465,255,374.89,432.21
12,11,False,False,32,245,1650216300,1650251520,28080,0,3081,80,384.19,441.1
5,2,False,False,30,114,1650204720,1650230520,14880,0,1030,19,403.72,457.6
13,8,False,False,7,43,1650203880,1650229140,14580,0,1137,52,141.4,174.11
15,10,False,False,21,84,1650259200,1650308340,31140,1,3665,25,389.78,448.21
3,5,False,True,23,164,1650178500,1650188340,9840,0,1142,232,262.33,296.61
3,8,False,False,7,68,1650206700,1650238020,19920,0,2030,53,180.47,217.61
7,5,False,False,30,4,1650213180,1650239280,13680,0,1145,390,543.26,607.61
13,5,False,False,7,43,1650222000,1650240600,13680,0,1097,273,155.35,189.1
9,0,False,False,56,103,1650179040,1650206400,18840,0,2074,244,310.7,357.6
5,4,False,False,56,167,1650201900,1650227640,15000,0,1039,340,262.33,305.61
8,15,False,True,4,164,1650229200,1650253080,23880,0,2566,184,318.14,356.6
11,0,False,False,56,103,1650217920,1650238200,17880,0,1649,46,643.72,715.6
8,15,False,True,23,164,1650228900,1650253740,24840,0,2566,232,318.14,356.6
0,15,False,False,30,155,1650197400,1650226920,24660,0,2494,193,919.07,1011.6
14,0,False,True,4,164,1650198000,1650206400,8400,0,667,180,305.12,342.6
7,4,False,False,56,167,1650198900,1650227640,17400,0,1393,345,262.33,305.61
5,14,False,False,7,167,1650210300,1650232800,12120,0,912,51,155.35,190.6
2,4,False,False,7,11,1650208080,1650236100,15180,0,1213,55,213.95,252.1
9,11,False,False,30,4,1650260100,1650293460,21000,1,2515,234,255.81,298.6
7,3,False,False,7,43,1650207120,1650227940,18180,0,1673,152,262.33,304.11
5,2,False,False,7,138,1650233520,1650252780,13860,0,1030,272,155.35,190.6
